OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLETTE,1975-010A,2026-07-26T15:14:22.776576,13.82350872,.02057545,49.8256,308.8849,193.3876,166.1506,0,U,7646,999,59999,.9702942E-5,-.129E-5,0
LAGEOS 1,1976-039A,2026-07-26T14:54:10.961280,6.38664761,.00446601,109.8061,192.8283,293.8044,261.8281,0,U,8820,999,91565,0,.1E-6,0
AJISAI (EGS),1986-061A,2026-07-26T13:47:47.428800,12.44516701,.00110741,50.0109,26.2789,280.8972,187.6017,0,U,16908,999,48529,.26005565E-4,-.94E-6,0
COSMOS 1989 (ETALON 1),1989-001C,2026-07-21T07:02:01.819104,2.13156081,.00233427,64.9655,71.0293,217.4579,358.9392,0,U,19751,999,29209,0,-.53E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2026-07-22T15:29:08.094048,2.13204681,.00207831,64.9107,309.3140,212.3219,125.4488,0,U,20026,999,28925,0,-.87E-6,0
LAGEOS 2,1992-070B,2026-07-26T08:57:13.433760,6.47294059,.01379829,52.6422,241.8987,204.5081,135.2450,0,U,22195,999,79795,0,-.9E-7,0
STELLA,1993-061B,2026-07-26T14:25:28.530624,14.27471416,.00073523,98.7704,271.9902,117.9842,27.6908,0,U,22824,999,71039,.3050276E-5,-.37E-6,0
LARETS,2003-042F,2026-07-26T14:57:20.478816,14.63874798,.00110116,98.4195,10.6637,273.8001,86.1941,0,U,27944,999,21913,.20386371E-4,.56E-6,0
LARES,2012-006A,2026-07-26T14:01:58.862784,12.54932413,.00090539,69.4880,224.9518,348.4094,11.6723,0,U,38077,999,66201,.10518642E-3,-.21E-6,0
LARES-2,2022-080A,2026-07-18T18:51:23.050944,6.38965084,.00054794,70.1539,294.4914,328.1411,31.8962,0,U,53105,999,9368,0,-.2E-6,0
